Name,URL,LoadProxy,ReverseProxy,Proxy Comments,Contains Dropdown KRF,KRFs,SALAD,Redecheck,Redecheck Runtime,Wave Runtime,Qualweb Runtime
weebly,https://www.sellercommunity.com/t5/Weebly/ct-p/Weebly/,,x,broken reverse,,24,,,126,2,4
wendys,https://www.wendys.com/offers-coupons,,,,,0,,,193,1,2
whatsapp,https://www.whatsapp.com/,,x,blank reverse,,0,,,626,1,2
whitepages,https://about.whitepages.com/,,x,no css,,4,x,,30,1,1
wikipedia,https://en.wikipedia.org/wiki/Main_Page,,,,,0,,,728,1,2
wiktionary,https://www.wiktionary.org/,,x,no css,,1,,,412,1,2
wordpress,https://wordpress.com/features/,,x,no css,,2,,,2486,1,3
yandex,https://passport.yandex.com/auth,,,,,,,,43,1,2
yelp,https://www.yelp.com/writeareview,,,,,,,,50,1,3
zendesk,https://www.zendesk.com/about/,,x,no css,,26,,,92,1,2
zerodollarmovies,https://web.archive.org/web/20161123111506/http://zerodollarmovies.com/,,x,no css,,0,,,89,1,2
,,,,,,,,,161.007874,,
